"Date","Price","Open","High","Low","Change %"
"04/01/2026","2.9955","2.9957","2.9957","2.9930","-0.40%"
"03/01/2026","3.0076","2.7071","3.0958","2.7071","13.38%"
"02/01/2026","2.6527","2.8651","2.8879","2.6515","-6.75%"
"01/01/2026","2.8446","2.8979","2.9017","2.7808","-0.62%"
"12/01/2025","2.8623","2.7482","2.9032","2.7450","6.35%"
"11/01/2025","2.6913","2.6616","2.7190","2.6455","2.06%"
"10/01/2025","2.6369","2.7129","2.7169","2.5508","-2.77%"
"09/01/2025","2.7120","2.7485","2.7895","2.6386","-0.37%"
"08/01/2025","2.7222","2.6770","2.7780","2.6212","1.08%"
"07/01/2025","2.6930","2.5670","2.7310","2.5660","3.70%"
"06/01/2025","2.5970","2.5225","2.5970","2.4780","3.51%"
"05/01/2025","2.5090","2.5200","2.6920","2.4740","2.79%"
"04/01/2025","2.4410","2.6810","2.7240","2.4390","-10.49%"
"03/01/2025","2.7270","2.4910","2.8865","2.4795","14.27%"
"02/01/2025","2.3865","2.3870","2.5490","2.3590","-2.95%"
"01/01/2025","2.4590","2.3665","2.6225","2.3665","4.11%"
"12/01/2024","2.3620","2.0820","2.4050","2.0300","13.18%"
"11/01/2024","2.0870","2.3900","2.4980","2.0880","-12.73%"
"10/01/2024","2.3915","2.1260","2.4470","2.0110","12.22%"
"09/01/2024","2.1310","2.3010","2.3490","2.0860","-6.94%"
"08/01/2024","2.2900","2.3040","2.3040","2.0740","-0.52%"
"07/01/2024","2.3020","2.5410","2.6160","2.3010","-7.36%"
"06/01/2024","2.4850","2.6630","2.6805","2.3405","-6.68%"
"05/01/2024","2.6630","2.5830","2.7050","2.3950","2.84%"
"04/01/2024","2.5895","2.2970","2.6455","2.2915","12.93%"
"03/01/2024","2.2930","2.4405","2.4705","2.2325","-4.50%"
"02/01/2024","2.4010","2.1850","2.5130","2.1190","11.11%"
"01/01/2024","2.1610","2.0680","2.3710","1.9750","6.56%"
"12/01/2023","2.0280","2.4590","2.4610","1.8960","-17.19%"
"11/01/2023","2.4490","2.8410","2.8530","2.3940","-12.82%"
"10/01/2023","2.8090","2.8560","3.0240","2.6870","-1.02%"
"09/01/2023","2.8380","2.4760","2.9800","2.4460","14.85%"
"08/01/2023","2.4710","2.4560","2.7290","2.4120","0.24%"
"07/01/2023","2.4650","2.4010","2.6790","2.2850","3.09%"
"06/01/2023","2.3910","2.2890","2.5480","2.2400","5.24%"
"05/01/2023","2.2720","2.4100","2.5560","2.1740","-2.15%"
"04/01/2023","2.3220","2.3160","2.5400","2.1220","0.91%"
"03/01/2023","2.3010","2.6880","2.7700","1.9230","-12.94%"
"02/01/2023","2.6430","2.2710","2.7100","2.0420","15.92%"
"01/01/2023","2.2800","2.5500","2.5690","1.9670","-11.04%"
"12/01/2022","2.5630","1.8630","2.5690","1.7530","31.84%"
"11/01/2022","1.9440","2.1080","2.3780","1.8020","-9.58%"
"10/01/2022","2.1500","2.1140","2.5320","1.7690","1.94%"
"09/01/2022","2.1090","1.5400","2.3520","1.4740","37.30%"
"08/01/2022","1.5360","0.8180","1.5840","0.6780","86.18%"
"07/01/2022","0.8250","1.3410","1.4100","0.7970","-39.69%"
"06/01/2022","1.3680","1.1190","1.9260","1.1050","21.38%"
"05/01/2022","1.1270","0.9420","1.1890","0.8460","20.53%"
"04/01/2022","0.9350","0.5800","0.9740","0.4730","70.93%"
"03/01/2022","0.5470","0.1320","0.7410","-0.1090","244.03%"
"02/01/2022","0.1590","0.0110","0.3310","-0.0150","1,035.71%"
"01/01/2022","0.0140","-0.1770","0.0320","-0.1850","-107.82%"
"12/01/2021","-0.1790","-0.3490","-0.1710","-0.4090","-47.81%"
"11/01/2021","-0.3430","-0.1100","-0.0650","-0.3630","264.89%"
"10/01/2021","-0.0940","-0.1970","-0.0640","-0.2430","-50.79%"
"09/01/2021","-0.1910","-0.3730","-0.1720","-0.4010","-49.74%"
"08/01/2021","-0.3800","-0.4590","-0.3760","-0.5240","-17.03%"
"07/01/2021","-0.4580","-0.1980","-0.1790","-0.4650","125.62%"
"06/01/2021","-0.2030","-0.1770","-0.1460","-0.2870","10.93%"
"05/01/2021","-0.1830","-0.2010","-0.0740","-0.2590","-8.50%"
"04/01/2021","-0.2000","-0.2890","-0.1770","-0.3470","-31.51%"